id,title,genres,overview,poster,backdrop,rating,year,runtime,language,trailer_url
1088410,Bhairathi Ranagal,"Action, Drama",The story revolves around the life of Bhairathi Ranagal's journey from being a law-abiding responsible lawyer to the benevolent crime boss of Karnataka.,https://image.tmdb.org/t/p/w500/ghA56IEkZ1FwJVDWWEihtVnRYvZ.jpg,https://image.tmdb.org/t/p/original/13yVuhVKCiN2vUa4PdKSsBFF4nh.jpg,8.3,2024,132 min,kn,https://www.youtube.com/watch?v=Toq88y-7x1o
729030,Rathnan Prapancha,"Drama, Comedy",Rathnakara is an insurance agent living a mundane life with his unapologetically loud mother Saroja. An uncomfortable truth about his life leads him to go on a trail to find his world. What does he learn eventually?,https://image.tmdb.org/t/p/w500/dH7q0wASf3Wn9nHQL8HDbUSrjg7.jpg,https://image.tmdb.org/t/p/original/e5nsTMUFtg97mR8bU8eXevt4BIL.jpg,4.0,2021,146 min,kn,https://www.youtube.com/watch?v=kT819h_6a8o
1524465,The Task,"Drama, Action, Crime","A chilling murder, a young witness, and two unlikely heroes pulled into a perilous game. With a ruthless mafia closing in, they embark on a daring mission to protect the innocent and hunt down those responsible. This action-packed thriller delivers tension, courage and nonstop excitement from start to finish.",https://image.tmdb.org/t/p/w500/r3mvdt3vVLlSXJt08LVWxP6KuK4.jpg,https://image.tmdb.org/t/p/original/4vmfuLzgPQmnJNZAkIoR3ANJeC6.jpg,0.0,2025,135 min,kn,
634077,Avane Srimannarayana,"Fantasy, Action, Adventure, Comedy, Western","In the pursuit of solving an ancient mystery of Amaravati, Narayana, a corrupt cop must battle the dangerous clan of dacoits and it's fierce leader.",https://image.tmdb.org/t/p/w500/2RbZNL7JRq5GhIAPrcJlm0LgsgX.jpg,https://image.tmdb.org/t/p/original/9UPQG0lSh6RWu4YtCcK7LAjDq67.jpg,7.393,2019,183 min,kn,https://www.youtube.com/watch?v=XQR8gPraRPs
1566163,Flirt,"Romance, Thriller, Comedy","Flirt is a romantic-comedy-thriller centered around a young man (portrayed by Chandan Kumar) whose life intertwines with love, friendship and emotional chaos. The film explores relationships, romance and unexpected twists in an entertaining blend of humour, drama and heart. Performances especially by the lead pair are highlighted as the film’s strongest aspect.",https://image.tmdb.org/t/p/w500/eVNq2MJoywSBlxe68NcDFUHViBb.jpg,https://image.tmdb.org/t/p/original/zCsg53gjBsc5tXvqKjTsYZOJvIY.jpg,0.0,2025,165 min,kn,
1296122,Hayagrriva,Action,,,,0.0,2026,N/A,kn,
1631017,Karikaada,"Action, Comedy","Divine love transforms Kaada's hunting heritage into an epic tale of adventure, action, and romance, leading him to abandon his former life.",https://image.tmdb.org/t/p/w500/tL0skwRWivuNZHQD89baWynksct.jpg,,0.0,2026,140 min,kn,https://www.youtube.com/watch?v=DPqHFGXxOOg
459403,Doddmane Hudga,"Drama, Action, Family","Surya, a boy belonging to a big family of the town, moves out of the house when ignored by his father Rajivappa. However, after a few years, he comes back to rescue his land against Babu, an evil man.",https://image.tmdb.org/t/p/w500/sdKrWjBOM1M1D1uqKSc409JSoss.jpg,https://image.tmdb.org/t/p/original/oijBNTxP2K4iVV9C4RdValozoeI.jpg,5.8,2016,137 min,kn,https://www.youtube.com/watch?v=S0kLxoV20aI
1581914,Love OTP,"Comedy, Romance","Akshay finds himself in a hilarious mess when he falls in love with two girls at the same time, without either of them knowing. To make things worse, his strict father is completely against love. Now, Akshay must juggle both sides, hide the truth, and somehow escape the chaos hes created.",https://image.tmdb.org/t/p/w500/ypLAulWYZDn0TiDqpKk8bU7g7cm.jpg,https://image.tmdb.org/t/p/original/kcqKAtNYkwtELDL3XqNVgx8D1t9.jpg,0.0,2025,140 min,kn,https://www.youtube.com/watch?v=ABwJ9VmqAwU
441862,Hebbuli,"Drama, Action",A fearless commando arrives home at the news of his brother's suicide until he starts to deeply investigate the reason behind his mysterious demise.,https://image.tmdb.org/t/p/w500/euyVCIOATR07mc7bMz8odAiItRf.jpg,https://image.tmdb.org/t/p/original/wg0ytdd96mzdtfFrnL5TVf02hc2.jpg,5.643,2017,141 min,kn,
1568241,JAI,"Action, Drama",The protagonist Sathya from Simhabettu finds himself in a dilemma after he finds out the truth behind the people he trusted the most.,https://image.tmdb.org/t/p/w500/7TN1DauopR8JGsL6LJKIVFyXjq0.jpg,https://image.tmdb.org/t/p/original/tRNvfp9Cd4FcmQjiwbzpSLdcEQg.jpg,0.0,2025,165 min,kn,https://www.youtube.com/watch?v=oCnaFcfoM6c
1638744,Sarala Subbarao,"Drama, Romance, Comedy","A romantic family drama set in 1970s Mysore that portrays the journey of Sarala and Subbarao as they balance love, tradition, and aspirations.",https://image.tmdb.org/t/p/w500/qeJydXBGQa9lPRnQ0TGR7y4qXIP.jpg,https://image.tmdb.org/t/p/original/2A6f4VEFFJnAkL3WvTYq7gKTPTx.jpg,0.0,2026,130 min,kn,https://www.youtube.com/watch?v=5Ivqf2fj-Qo
398888,Mr. Airavata,Action,A common farmer turns into an IAS police officer to help the poor and fight against corruption and finally taking the revenge of his murdered sister.,https://image.tmdb.org/t/p/w500/wisYd4dTV9lMXh6n4qEYJlwbvfw.jpg,https://image.tmdb.org/t/p/original/fcz481coDlRBeF0ZxVD4FHWmxNs.jpg,5.0,2015,147 min,kn,
819165,Adieu Godard,Drama,"A small Indian village: an old man is addicted to watching pornography with his friends. One fine day, he accidentally brings home a DVD with a Godard film inside it. Though his friends were disgusted, Ananda gets attracted to Godard’s film and gradually develops an obsession. He initiates the idea of hosting a film festival in their village where Godard’s films will be screened. The festival gets organized after a lot of drama, but what happens next is to be seen.",https://image.tmdb.org/t/p/w500/ueCcsg6HJD8CCEgyctOh5YHE3JX.jpg,https://image.tmdb.org/t/p/original/8luATTAs6ujANsS7M1MFgBVuPQM.jpg,7.0,2022,83 min,or,https://www.youtube.com/watch?v=rvM4BT7Fh6M
1071659,Tora Mora Katti,Drama,Tora Mora Katti is a story of two young couple Adi (Sailendra Samantray) and Saachi (Sheetal Patra) who got married accidentally and now facing problem for divorce. Meanwhile adi trying to convince saachi but in a circumstance Gabbar (Siddhant Mohapatra) a baaghi kidnap them and negotiate with government.,https://image.tmdb.org/t/p/w500/yqTGzECd1XAa1dhSTzSckoUKmsO.jpg,,0.0,2023,N/A,or,https://www.youtube.com/watch?v=0vi03RnFkVk
1089332,Bapa Superman,"Drama, Thriller","Bapa Superman is story of a loving father (played by Sidhant Mohapatra) who's employed as a low rank police official, raises against the might and powerful to save his son.",https://image.tmdb.org/t/p/w500/1GUU7BPVyC71rHc6LEz00rCE9Sv.jpg,,0.0,2023,N/A,or,https://www.youtube.com/watch?v=T_FOk47p19M
1085157,Biju Babu,"Action, Drama","Babu, who becomes Bijubabu in later phase is a professional thief. Once he happens to enter into Anand Bhavan, ancestral house of late Bijubabu, The popular leader of Odisha. Babu manages to steal the spectacle of Bijubabu. And eventually when even Babu wears the spectacle he talks and behaves like Bijubabu. In a parallel story line Ragini, who is interested to be a film actress faces opposition from her father. And as her father fixes her marriage Ragini escapes from her house and stays with Nirmal, a brotherly character to her. She does journalism and does a sting operation with Nirmal against corrupt politician Vijendra and Rajendra. Simultaneously Babu too is after there corrupt politician. And as the story grown Babu falls in love with Ragini and finally Babu and Ragini unmask the corrupt politicians and take revenge of Nirmal's death.",https://image.tmdb.org/t/p/w500/b65WACH7Dxuo8gT78utegKTuu4c.jpg,,0.0,2019,162 min,or,https://www.youtube.com/watch?v=qlWmszaDP1w
1580672,Mantra Muugdha,"Comedy, Fantasy","A magical, musical, maddening ride where the music will unleash a thrilling adventure of a lifetime.",https://image.tmdb.org/t/p/w500/4x2pE7RBAT6sX24koUr9VrVmynQ.jpg,,0.0,2026,180 min,or,
